sample_id	species	lat	long	country
KU12856_papuana	papuana	-6.6944444	145.1066667	png
KU14618_papuana	papuana	-9.98955	149.4867333	png
KU14621_papuana	papuana	-9.98955	149.4867333	png
KU14622_papuana	papuana	-9.98955	149.4867333	png
KU14624_papuana	papuana	-9.98955	149.4867333	png
KU16064_papuana	papuana	-4.7172667	145.2748167	png
KU16434_papuana	papuana	-9.9895	149.4866667	png
KU5270_papuana	papuana	-6.598324	145.275345	png
KU5274_papuana	papuana	-6.598324	145.275345	png
YPM151655_papuana	papuana	-9.053	147.602	png
ANWC_B32623_trichroa	trichroa	-17.2	145.7	australia
ANWC_B52739_trichroa	trichroa	-16.6	145.3	australia
KU12254_trichroa	trichroa	-4.7172667	145.2748167	png
KU12301_trichroa	trichroa	-4.7172667	145.2748167	png
KU12846_trichroa	trichroa	-6.6944444	145.1066667	png
KU16071_trichroa	trichroa	-4.7172667	145.2748167	png
KU16075_trichroa	trichroa	-4.7172667	145.2748167	png
KU16086_trichroa	trichroa	-4.7172667	145.2748167	png
KU16234_trichroa	trichroa	-9.9895	149.4866667	png
KU23619_trichroa	trichroa	7.489199	134.560307	palau
KU32805_trichroa	trichroa	-9.6356	160.0585	solomons
KU32819_trichroa	trichroa	-9.6356	160.0585	solomons
KU34978_trichroa	trichroa	-10.573	161.899	solomons
KU35027_trichroa	trichroa	-10.573	161.899	solomons
YPM151447_trichroa	trichroa	-8.9897	147.6314	png
YPM151458_trichroa	trichroa	-8.924	147.57	png
YPM151575_trichroa	trichroa	-8.924	147.57	png